# Tx Location: [6.0, 0.0, 1.5]
# Rx Positions: [[-10, 10, 1.5], [10, 10, 1.5], [-10, -10, 1.5], [10, -10, 1.5]]
# Rx Orientations: [[-1.0471975511965976, 0, 0], [-2.0943951023931953, 0, 0], [1.0471975511965976, 0, 0], [2.0943951023931953, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,1,0,3.417085427135678e-08,0.1667325710005756
0,1,1,5.125628140703517e-08,1.1320264031091711
0,1,2,1.4070351758793969e-07,-0.8161120580554491
0,2,0,7.437185929648241e-08,-0.27203735268514984
0,3,0,3.618090452261306e-08,-0.1491817740531467
0,3,1,6.93467336683417e-08,-0.9565184336348812
0,3,2,8.944723618090451e-08,-0.23693575879029183
1,1,0,3.417085427135678e-08,0.14918177405314648
1,1,1,5.226130653266331e-08,1.1320264031091711
1,1,2,1.4070351758793969e-07,-0.7810104641605911
1,2,0,7.336683417085427e-08,-0.23693575879029183
1,3,0,3.618090452261306e-08,-0.1491817740531467
1,3,1,6.93467336683417e-08,-0.9740692305823102
1,3,2,8.844221105527637e-08,-0.20183416489543382
2,1,0,3.517587939698492e-08,0.14918177405314648
2,1,1,5.125628140703517e-08,1.219780387846316
2,1,2,1.4070351758793969e-07,-0.7985612611080201
2,2,0,7.437185929648241e-08,-0.23693575879029183
2,3,0,3.618090452261306e-08,-0.1491817740531467
2,3,1,7.035175879396984e-08,-0.9565184336348812
2,3,2,8.743718592964823e-08,-0.1842833679480047
3,1,0,3.417085427135678e-08,0.18428336794800448
3,1,1,5.125628140703517e-08,1.167127997004029
3,1,2,1.4070351758793969e-07,-0.8161120580554491
3,2,0,7.437185929648241e-08,-0.2193849618428627
3,3,0,3.618090452261306e-08,-0.1491817740531467
3,3,1,6.93467336683417e-08,-0.9565184336348812
3,3,2,8.944723618090451e-08,-0.1667325710005758
4,1,0,3.417085427135678e-08,0.1667325710005756
4,1,1,5.125628140703517e-08,1.1495772000566
4,1,2,1.4070351758793969e-07,-0.8161120580554491
4,2,0,7.437185929648241e-08,-0.2193849618428627
4,3,0,3.618090452261306e-08,-0.1491817740531467
4,3,1,5.5276381909547735e-08,-0.35979133742229474
4,3,2,6.93467336683417e-08,-0.9740692305823102
5,1,0,3.417085427135678e-08,0.1667325710005756
5,1,1,5.125628140703517e-08,1.1846787939514583
5,1,2,1.4070351758793969e-07,-0.7810104641605911
5,2,0,7.437185929648241e-08,-0.2193849618428627
5,3,0,3.618090452261306e-08,-0.1491817740531467
5,3,1,6.93467336683417e-08,-0.9740692305823102
5,3,2,8.944723618090451e-08,-0.1667325710005758
6,1,0,3.517587939698492e-08,0.14918177405314648
6,1,1,5.125628140703517e-08,1.1495772000566
6,1,2,1.4070351758793969e-07,-0.8336628550028781
6,2,0,7.537688442211055e-08,-0.2544865557377207
6,3,0,3.618090452261306e-08,-0.1491817740531467
6,3,1,6.93467336683417e-08,-0.9565184336348812
6,3,2,8.944723618090451e-08,-0.1842833679480047
7,1,0,3.517587939698492e-08,0.13163097710571758
7,1,1,5.125628140703517e-08,1.2022295908988871
7,1,2,1.4070351758793969e-07,-0.8161120580554491
7,2,0,7.537688442211055e-08,-0.23693575879029183
7,3,0,3.618090452261306e-08,-0.1491817740531467
7,3,1,5.326633165829145e-08,-0.30713894658000784
7,3,2,6.93467336683417e-08,-0.9565184336348812
8,1,0,3.517587939698492e-08,0.14918177405314648
8,1,1,5.125628140703517e-08,1.167127997004029
8,1,2,1.4070351758793969e-07,-0.763459667213162
8,2,0,7.336683417085427e-08,-0.2544865557377207
8,3,0,3.618090452261306e-08,-0.1491817740531467
8,3,1,7.035175879396984e-08,-0.9214168397400232
8,3,2,8.844221105527637e-08,-0.20183416489543382
9,1,0,3.417085427135678e-08,0.14918177405314648
9,1,1,5.226130653266331e-08,1.1144756061617422
9,1,2,1.4070351758793969e-07,-0.8336628550028781
9,2,0,7.437185929648241e-08,-0.2193849618428627
9,3,0,3.618090452261306e-08,-0.1491817740531467
9,3,1,6.93467336683417e-08,-0.9565184336348812
9,3,2,8.743718592964823e-08,-0.1667325710005758
