# Tx Location: [4.0, -5.0, 1.5]
# Rx Positions: [[-10, 10, 1.5], [10, 10, 1.5], [-10, -10, 1.5], [10, -10, 1.5]]
# Rx Orientations: [[-1.0471975511965976, 0, 0], [-2.0943951023931953, 0, 0], [1.0471975511965976, 0, 0], [2.0943951023931953, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,2,0,7.437185929648241e-08,-0.1491817740531467
0,2,1,1.0452261306532662e-07,-0.9038660427925942
0,3,0,2.6130653266331656e-08,0.34224054047486563
0,3,1,3.417085427135678e-08,0.5352993068965848
0,3,2,5.628140703517587e-08,1.4479407481628934
0,3,3,8.040201005025125e-08,-0.28958814963257873
0,3,4,9.64824120603015e-08,0.6055024946863008
0,3,5,1.3065326633165828e-07,0.9214168397400231
1,2,0,7.236180904522612e-08,-0.1491817740531467
1,2,1,1.0452261306532662e-07,-0.8863152458451652
1,3,0,2.6130653266331656e-08,0.34224054047486563
1,3,1,3.417085427135678e-08,0.5352993068965848
1,3,2,5.5276381909547735e-08,-1.2724327786886034
1,3,3,8.140703517587938e-08,-0.41244372826458187
1,3,4,9.64824120603015e-08,0.6055024946863008
1,3,5,1.3266331658291456e-07,0.8512136519503071
2,2,0,7.437185929648241e-08,-0.11408018015828869
2,2,1,1.0452261306532662e-07,-0.8863152458451652
2,3,0,2.6130653266331656e-08,0.3597913374222945
2,3,1,3.417085427135678e-08,0.5352993068965848
2,3,2,5.4271356783919594e-08,-1.2197803878463165
2,3,3,8.140703517587938e-08,-0.35979133742229474
2,3,4,9.64824120603015e-08,0.6055024946863008
2,3,5,1.316582914572864e-07,0.8863152458451649
3,2,0,7.336683417085427e-08,-0.1667325710005758
3,2,1,1.0452261306532662e-07,-0.8512136519503071
3,3,0,2.6130653266331656e-08,0.3597913374222945
3,3,1,3.417085427135678e-08,0.5352993068965848
3,3,2,5.5276381909547735e-08,1.360186763425748
3,3,3,8.040201005025125e-08,-0.35979133742229474
3,3,4,9.64824120603015e-08,0.6055024946863008
3,3,5,1.316582914572864e-07,0.8863152458451649
4,2,0,1.0452261306532662e-07,-0.8863152458451652
4,3,0,2.6130653266331656e-08,0.34224054047486563
4,3,1,3.417085427135678e-08,0.5352993068965848
4,3,2,5.5276381909547735e-08,1.3075343725834614
4,3,3,8.140703517587938e-08,-0.32468974352743674
4,3,4,9.64824120603015e-08,0.5879516977388719
4,3,5,1.316582914572864e-07,0.9214168397400231
5,2,0,1.0452261306532662e-07,-0.8863152458451652
5,3,0,2.6130653266331656e-08,0.3597913374222945
5,3,1,3.417085427135678e-08,0.5352993068965848
5,3,2,5.5276381909547735e-08,-1.3777375603731774
5,3,3,8.040201005025125e-08,-0.37734213436972386
5,3,4,9.64824120603015e-08,0.6055024946863008
5,3,5,1.3065326633165828e-07,0.868764448897736
6,2,0,7.537688442211055e-08,-0.1491817740531467
6,2,1,1.0452261306532662e-07,-0.8863152458451652
6,3,0,2.6130653266331656e-08,0.34224054047486563
6,3,1,3.417085427135678e-08,0.5352993068965848
6,3,2,5.5276381909547735e-08,-1.3777375603731774
6,3,3,8.040201005025125e-08,-0.34224054047486585
6,3,4,9.64824120603015e-08,0.6055024946863008
6,3,5,1.3065326633165828e-07,0.938967636687452
7,2,0,1.0452261306532662e-07,-0.9038660427925942
7,3,0,2.6130653266331656e-08,0.3597913374222945
7,3,1,3.417085427135678e-08,0.5352993068965848
7,3,2,5.5276381909547735e-08,1.3075343725834614
7,3,3,8.140703517587938e-08,-0.32468974352743674
7,3,4,9.64824120603015e-08,0.6055024946863008
7,3,5,1.3266331658291456e-07,0.8512136519503071
8,2,0,7.336683417085427e-08,-0.13163097710571758
8,2,1,1.0452261306532662e-07,-0.9038660427925942
8,3,0,2.6130653266331656e-08,0.3597913374222945
8,3,1,3.417085427135678e-08,0.5352993068965848
8,3,2,5.5276381909547735e-08,-1.2899835756360325
8,3,3,8.040201005025125e-08,-0.37734213436972386
8,3,4,9.64824120603015e-08,0.6055024946863008
8,3,5,1.316582914572864e-07,0.868764448897736
9,2,0,7.236180904522612e-08,-0.1842833679480047
9,2,1,1.0452261306532662e-07,-0.9214168397400232
9,3,0,2.6130653266331656e-08,0.3597913374222945
9,3,1,3.417085427135678e-08,0.5352993068965848
9,3,2,5.4271356783919594e-08,-1.2899835756360325
9,3,3,8.040201005025125e-08,-0.35979133742229474
9,3,4,9.64824120603015e-08,0.6055024946863008
9,3,5,1.316582914572864e-07,0.8512136519503071
