# Tx Location: [-2.0, -5.0, 1.5]
# Rx Positions: [[-10, 10, 1.5], [10, 10, 1.5], [-10, -10, 1.5], [10, -10, 1.5]]
# Rx Orientations: [[-1.0471975511965976, 0, 0], [-2.0943951023931953, 0, 0], [1.0471975511965976, 0, 0], [2.0943951023931953, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,2,0,3.115577889447236e-08,-0.4826469160542979
0,2,1,4.824120603015075e-08,-0.06142778931600157
0,2,2,6.331658291457286e-08,0.07897858626343046
0,2,3,8.542713567839194e-08,0.18428336794800448
0,2,4,1.28643216080402e-07,-0.39489293131715275
0,3,0,4.321608040201004e-08,0.6406040885811586
0,3,1,1.1155778894472361e-07,0.9038660427925937
1,2,0,3.115577889447236e-08,-0.4826469160542979
1,2,1,4.824120603015075e-08,-0.06142778931600157
1,2,2,6.331658291457286e-08,0.07897858626343046
1,2,3,8.542713567839194e-08,0.1667325710005756
1,2,4,1.2763819095477387e-07,-0.35979133742229474
1,3,0,4.321608040201004e-08,0.6581548855285879
1,3,1,1.1155778894472361e-07,0.8863152458451649
2,2,0,3.115577889447236e-08,-0.4826469160542979
2,2,1,4.824120603015075e-08,-0.06142778931600157
2,2,2,6.331658291457286e-08,0.07897858626343046
2,2,3,8.643216080402009e-08,0.18428336794800448
2,2,4,1.28643216080402e-07,-0.34224054047486585
2,3,0,4.321608040201004e-08,0.6581548855285879
2,3,1,1.1155778894472361e-07,0.9038660427925937
3,2,0,3.115577889447236e-08,-0.4826469160542979
3,2,1,4.824120603015075e-08,-0.06142778931600157
3,2,2,6.331658291457286e-08,0.07897858626343046
3,2,3,8.542713567839194e-08,0.18428336794800448
3,2,4,1.28643216080402e-07,-0.35979133742229474
3,3,0,4.321608040201004e-08,0.6581548855285879
3,3,1,1.1155778894472361e-07,0.9038660427925937
4,2,0,3.115577889447236e-08,-0.4826469160542979
4,2,1,4.824120603015075e-08,-0.06142778931600157
4,2,2,6.331658291457286e-08,0.07897858626343046
4,2,3,8.643216080402009e-08,0.18428336794800448
4,2,4,1.28643216080402e-07,-0.34224054047486585
4,3,0,4.321608040201004e-08,0.6581548855285879
4,3,1,1.1155778894472361e-07,0.8863152458451649
5,2,0,3.115577889447236e-08,-0.4826469160542979
5,2,1,4.824120603015075e-08,-0.06142778931600157
5,2,2,6.331658291457286e-08,0.07897858626343046
5,2,3,8.542713567839194e-08,0.1667325710005756
5,2,4,1.28643216080402e-07,-0.37734213436972386
5,3,0,4.321608040201004e-08,0.6406040885811586
5,3,1,1.1155778894472361e-07,0.9038660427925937
6,2,0,3.115577889447236e-08,-0.4826469160542979
6,2,1,4.824120603015075e-08,-0.06142778931600157
6,2,2,6.331658291457286e-08,0.07897858626343046
6,2,3,8.643216080402009e-08,0.18428336794800448
6,2,4,1.28643216080402e-07,-0.39489293131715275
6,3,0,4.321608040201004e-08,0.6406040885811586
6,3,1,1.1155778894472361e-07,0.9038660427925937
7,2,0,3.115577889447236e-08,-0.4826469160542979
7,2,1,4.824120603015075e-08,-0.06142778931600157
7,2,2,6.331658291457286e-08,0.07897858626343046
7,2,3,8.542713567839194e-08,0.1667325710005756
7,2,4,1.28643216080402e-07,-0.32468974352743674
7,3,0,4.321608040201004e-08,0.6406040885811586
7,3,1,1.1155778894472361e-07,0.9038660427925937
8,2,0,3.115577889447236e-08,-0.4826469160542979
8,2,1,4.824120603015075e-08,-0.06142778931600157
8,2,2,6.331658291457286e-08,0.07897858626343046
8,2,3,8.643216080402009e-08,0.18428336794800448
8,2,4,1.28643216080402e-07,-0.37734213436972386
8,3,0,4.321608040201004e-08,0.6406040885811586
8,3,1,1.1155778894472361e-07,0.8863152458451649
9,2,0,3.115577889447236e-08,-0.4826469160542979
9,2,1,4.824120603015075e-08,-0.06142778931600157
9,2,2,6.331658291457286e-08,0.06142778931600135
9,2,3,8.542713567839194e-08,0.18428336794800448
9,2,4,1.28643216080402e-07,-0.34224054047486585
9,3,0,4.321608040201004e-08,0.6581548855285879
9,3,1,1.1155778894472361e-07,0.9038660427925937
