# Tx Location: [-4.0, -5.0, 1.5]
# Rx Positions: [[-10, 10, 1.5], [10, 10, 1.5], [-10, -10, 1.5], [10, -10, 1.5], [-15, 0, 1.5], [15, 0, 1.5]]
# Rx Orientations: [[-1.0471975511965976, 0, 0], [-2.0943951023931953, 0, 0], [1.0471975511965976, 0, 0], [2.0943951023931953, 0, 0], [0, 0, 0], [3.141592653589793, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,2,0,2.6130653266331656e-08,-0.35979133742229474
0,2,1,4.120603015075376e-08,-0.5879516977388719
0,2,2,4.22110552763819e-08,0.8336628550028777
0,2,3,5.4271356783919594e-08,-0.1667325710005758
0,2,4,1.015075376884422e-07,-0.658154885528588
0,2,5,1.2160804020100502e-07,-0.32468974352743674
0,3,0,1.0452261306532662e-07,0.8863152458451649
0,4,0,4.6231155778894466e-08,-0.62305329163373
0,4,1,6.733668341708542e-08,-0.9740692305823102
0,4,2,9.045226130653265e-08,-0.7810104641605911
0,5,0,7.336683417085427e-08,0.5177485099491559
