# Tx Location: [-6.0, 2.5, 1.5]
# Rx Positions: [[-10, 10, 1.5], [10, 10, 1.5], [-10, -10, 1.5], [10, -10, 1.5], [-15, 0, 1.5], [15, 0, 1.5]]
# Rx Orientations: [[-1.0471975511965976, 0, 0], [-2.0943951023931953, 0, 0], [1.0471975511965976, 0, 0], [2.0943951023931953, 0, 0], [0, 0, 0], [3.141592653589793, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,0,0,2.9145728643216075e-08,-0.043876992368572676
0,0,1,3.316582914572864e-08,-1.2197803878463165
0,0,2,6.633165829145728e-08,-0.1667325710005758
0,0,3,9.246231155778893e-08,-0.39489293131715275
0,0,4,9.447236180904521e-08,0.2895881496325785
0,1,0,9.64824120603015e-08,-0.8161120580554491
0,2,0,7.537688442211055e-08,0.34224054047486563
0,2,1,1.28643216080402e-07,-0.535299306896585
0,4,0,4.120603015075376e-08,0.2193849618428625
0,4,1,5.4271356783919594e-08,1.0267216214245969
1,0,0,2.9145728643216075e-08,-0.043876992368572676
1,0,1,3.316582914572864e-08,-1.2197803878463165
1,0,2,6.633165829145728e-08,-0.1667325710005758
1,0,3,9.246231155778893e-08,-0.39489293131715275
1,0,4,9.447236180904521e-08,0.2895881496325785
1,1,0,9.748743718592964e-08,-0.7810104641605911
1,2,0,7.537688442211055e-08,0.34224054047486563
1,2,1,1.2964824120603012e-07,-0.5528501038440139
1,4,0,4.120603015075376e-08,0.2193849618428625
1,4,1,5.326633165829145e-08,1.0267216214245969
2,0,0,2.9145728643216075e-08,-0.043876992368572676
2,0,1,3.316582914572864e-08,-1.2373311847937454
2,0,2,6.633165829145728e-08,-0.1667325710005758
2,0,3,9.246231155778893e-08,-0.41244372826458187
2,0,4,9.447236180904521e-08,0.2720373526851496
2,1,0,9.949748743718592e-08,-0.8161120580554491
2,1,1,1.1256281407035174e-07,-0.008775398473714668
2,2,0,7.537688442211055e-08,0.34224054047486563
2,2,1,1.2964824120603012e-07,-0.535299306896585
2,4,0,4.120603015075376e-08,0.2193849618428625
2,4,1,5.4271356783919594e-08,1.0267216214245969
3,0,0,2.9145728643216075e-08,-0.043876992368572676
3,0,1,3.316582914572864e-08,-1.2197803878463165
3,0,2,6.633165829145728e-08,-0.1667325710005758
3,0,3,9.246231155778893e-08,-0.39489293131715275
3,0,4,9.447236180904521e-08,0.2895881496325785
3,1,0,9.64824120603015e-08,-0.7985612611080201
