# Tx Location: [-7.0, -2.0, 1.5]
# Rx Positions: [[-7, 8, 1.5], [7, 8, 1.5], [-7, -8, 1.5], [7, -8, 1.5]]
# Rx Orientations: [[-0.7853981633974483, 0, 0], [-2.356194490192345, 0, 0], [0.7853981633974483, 0, 0], [2.356194490192345, 0, 0]]
trial_id,receiver,path_index,delay,angle
0,0,0,3.417085427135678e-08,-0.8512136519503071
0,0,1,4.924623115577889e-08,0.043876992368572454
0,2,0,2.0100502512562813e-08,0.7810104641605911
0,2,1,3.9195979899497485e-08,0.7810104641605911
0,2,2,6.93467336683417e-08,-0.1667325710005758
0,2,3,9.949748743718592e-08,0.1667325710005756
0,3,0,5.125628140703517e-08,0.37734213436972364
1,0,0,3.417085427135678e-08,-0.8512136519503071
1,0,1,4.924623115577889e-08,0.043876992368572454
1,2,0,2.0100502512562813e-08,0.7810104641605911
1,2,1,3.9195979899497485e-08,0.7810104641605911
1,2,2,6.93467336683417e-08,-0.1667325710005758
1,2,3,1.0050251256281406e-07,0.13163097710571758
1,3,0,5.125628140703517e-08,0.39489293131715275
2,0,0,3.417085427135678e-08,-0.8336628550028781
2,0,1,4.924623115577889e-08,0.06142778931600135
2,2,0,2.0100502512562813e-08,0.7810104641605911
2,2,1,3.9195979899497485e-08,0.7810104641605911
2,2,2,6.93467336683417e-08,-0.1667325710005758
2,2,3,1.0050251256281406e-07,0.13163097710571758
2,3,0,5.125628140703517e-08,0.39489293131715275
3,0,0,3.316582914572864e-08,-0.8512136519503071
3,0,1,4.924623115577889e-08,0.043876992368572454
3,2,0,2.0100502512562813e-08,0.7810104641605911
3,2,1,3.9195979899497485e-08,0.7810104641605911
3,2,2,6.93467336683417e-08,-0.1667325710005758
3,2,3,1.0050251256281406e-07,0.14918177405314648
3,3,0,5.125628140703517e-08,0.37734213436972364
4,0,0,3.417085427135678e-08,-0.8336628550028781
4,0,1,4.924623115577889e-08,0.043876992368572454
4,2,0,2.0100502512562813e-08,0.7810104641605911
4,2,1,3.9195979899497485e-08,0.7810104641605911
4,2,2,6.93467336683417e-08,-0.1667325710005758
4,2,3,1.0050251256281406e-07,0.1667325710005756
4,3,0,5.025125628140703e-08,0.37734213436972364
5,0,0,3.417085427135678e-08,-0.8687644488977362
5,0,1,4.924623115577889e-08,0.043876992368572454
5,2,0,2.0100502512562813e-08,0.7810104641605911
5,2,1,3.9195979899497485e-08,0.7810104641605911
5,2,2,6.93467336683417e-08,-0.1667325710005758
5,2,3,9.949748743718592e-08,0.14918177405314648
5,3,0,5.125628140703517e-08,0.39489293131715275
6,0,0,3.417085427135678e-08,-0.8336628550028781
6,0,1,4.924623115577889e-08,0.06142778931600135
6,2,0,2.0100502512562813e-08,0.7810104641605911
6,2,1,3.9195979899497485e-08,0.7810104641605911
6,2,2,6.93467336683417e-08,-0.1667325710005758
6,2,3,1.0050251256281406e-07,0.1667325710005756
6,3,0,5.125628140703517e-08,0.37734213436972364
7,0,0,3.417085427135678e-08,-0.8512136519503071
7,0,1,4.924623115577889e-08,0.043876992368572454
7,2,0,2.0100502512562813e-08,0.7810104641605911
7,2,1,3.9195979899497485e-08,0.7810104641605911
7,2,2,6.93467336683417e-08,-0.1667325710005758
7,2,3,9.949748743718592e-08,0.14918177405314648
7,3,0,5.125628140703517e-08,0.37734213436972364
8,0,0,3.417085427135678e-08,-0.8336628550028781
8,0,1,4.924623115577889e-08,0.02632619542114334
8,2,0,2.0100502512562813e-08,0.7810104641605911
8,2,1,3.9195979899497485e-08,0.7810104641605911
8,2,2,6.93467336683417e-08,-0.1667325710005758
8,2,3,9.949748743718592e-08,0.13163097710571758
8,3,0,5.025125628140703e-08,0.37734213436972364
9,0,0,3.417085427135678e-08,-0.8336628550028781
9,0,1,4.924623115577889e-08,0.06142778931600135
9,2,0,2.0100502512562813e-08,0.7810104641605911
9,2,1,3.9195979899497485e-08,0.79856126110802
9,2,2,6.93467336683417e-08,-0.1667325710005758
9,2,3,1.0050251256281406e-07,0.14918177405314648
9,3,0,5.125628140703517e-08,0.37734213436972364
